City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Kutum,SD,14.2,24.67,70.32,30,10,10.96,clear sky
214,Dumai,ID,1.68,101.45,96.35,47,100,0.78,heavy intensity rain
215,College,US,64.86,-147.8,10.4,85,90,4.7,light snow
216,Berlevag,NO,70.86,29.09,30.78,93,38,14.23,scattered clouds
217,Catalina,US,32.51,-110.92,68.0,32,67,2.75,broken clouds
218,Banda Aceh,ID,5.56,95.32,86.22,63,76,10.74,broken clouds
219,Bambous Virieux,MU,-20.34,57.76,73.0,49,20,14.99,few clouds
220,Erechim,BR,-27.63,-52.27,66.2,68,75,5.82,broken clouds
221,Santiago De Cao,PE,-7.96,-79.24,61.97,89,99,12.01,overcast clouds
222,Zhigansk,RU,66.77,123.37,-7.74,88,97,1.12,overcast clouds
223,Panaba,MX,21.28,-88.27,73.9,90,22,6.91,few clouds
224,Nichinan,JP,31.6,131.37,66.2,52,20,13.87,few clouds
225,Kitgum,UG,3.28,32.89,70.2,86,62,2.08,broken clouds
226,Carnarvon,AU,-24.87,113.63,78.8,65,90,18.34,overcast clouds
227,Vathi,GR,38.4,23.6,57.99,58,20,9.22,few clouds
228,Iqaluit,CA,63.75,-68.51,17.6,78,90,9.17,light snow
229,La Ronge,CA,55.1,-105.28,23.0,85,100,20.8,snow
230,Ancud,CL,-41.87,-73.82,46.99,81,0,2.24,clear sky
231,Yar-Sale,RU,66.83,70.83,34.14,97,100,14.81,light rain
232,Kaduna,NG,10.52,7.44,68.94,40,0,4.12,clear sky
233,Camacha,PT,33.08,-16.33,66.2,82,40,4.7,scattered clouds
234,Buchanan,LR,5.88,-10.05,77.47,87,76,5.77,light rain
235,Mezhdurechensk,RU,53.69,88.06,34.32,93,100,9.37,overcast clouds
236,Mortka,RU,59.33,66.02,33.39,92,100,10.36,overcast clouds
237,Port Elizabeth,ZA,-33.92,25.57,55.4,82,75,6.93,broken clouds
238,Mayya,RU,61.73,130.28,-2.2,77,0,2.24,clear sky
239,Cap-Aux-Meules,CA,47.38,-61.86,33.8,64,100,17.22,overcast clouds
240,Vanimo,PG,-2.67,141.3,85.57,62,99,6.46,overcast clouds
241,Egvekinot,RU,66.32,-179.17,12.42,83,34,9.53,scattered clouds
242,Domoni,KM,-12.26,44.53,77.41,73,98,8.61,overcast clouds
